Region,Diagnosis,Total_Cases,Year,Month,Avg_Temperature,High_Risk,Humidity,Migratory_Bird_Activity,Migration_Level,Biosecurity_Score,Total_Cases_Percent,Biosecurity_Score_Percent,Vaccine_Rate,Poultry_Population_000s
England North,Avian Influenza,22,2018,1,4.6,1,83.6,Low,1,84,14.76510067114094,96.66666666666667,63.4,462
England North,Newcastle Disease,3,2018,1,4.6,0,83.6,Low,1,71,2.013422818791946,53.333333333333336,45.1,244
England North,Salmonella,37,2018,1,4.6,1,83.6,Low,1,84,24.832214765100673,96.66666666666667,50.7,456
England North,Infectious Bronchitis,47,2018,1,4.6,1,83.6,Low,1,83,31.543624161073826,93.33333333333333,57.7,304
England North,Infectious Bursal Disease,8,2018,1,4.6,0,83.6,Low,1,79,5.369127516778524,80.0,66.7,262
England North,Marek's Disease,8,2018,1,4.6,0,83.6,Low,1,82,5.369127516778524,90.0,55.9,374
England North,All diseases,125,2018,1,4.6,1,83.6,Low,1,82,83.89261744966443,90.0,54.8,445
England South,Avian Influenza,18,2018,1,13.2,1,88.4,Low,1,68,12.080536912751679,43.333333333333336,51.2,427
England South,Newcastle Disease,2,2018,1,13.2,0,88.4,Low,1,67,1.342281879194631,40.0,62.9,222
England South,Salmonella,26,2018,1,13.2,1,88.4,Low,1,65,17.449664429530202,33.33333333333333,62.7,373
England South,Infectious Bronchitis,37,2018,1,13.2,1,88.4,Low,1,81,24.832214765100673,86.66666666666667,54.4,344
England South,Infectious Bursal Disease,9,2018,1,13.2,0,88.4,Low,1,70,6.0402684563758395,50.0,46.6,373
England South,Marek's Disease,7,2018,1,13.2,0,88.4,Low,1,66,4.697986577181208,36.666666666666664,60.8,296
England South,All diseases,99,2018,1,13.2,1,88.4,Low,1,75,66.44295302013423,66.66666666666666,58.5,370
Scotland,Avian Influenza,16,2018,1,4.5,1,88.8,Low,1,72,10.738255033557047,56.666666666666664,47.9,230
Scotland,Newcastle Disease,2,2018,1,4.5,0,88.8,Low,1,84,1.342281879194631,96.66666666666667,55.0,385
Scotland,Salmonella,21,2018,1,4.5,1,88.8,Low,1,69,14.093959731543624,46.666666666666664,61.7,494
Scotland,Infectious Bronchitis,27,2018,1,4.5,1,88.8,Low,1,78,18.120805369127517,76.66666666666667,58.1,274
Scotland,Infectious Bursal Disease,9,2018,1,4.5,0,88.8,Low,1,85,6.0402684563758395,100.0,52.4,491
Scotland,Marek's Disease,4,2018,1,4.5,0,88.8,Low,1,68,2.684563758389262,43.333333333333336,62.6,358
Scotland,All diseases,79,2018,1,4.5,1,88.8,Low,1,74,53.02013422818792,63.33333333333333,67.6,229
Wales,Avian Influenza,9,2018,1,2.9,0,71.5,Moderate,2,78,6.0402684563758395,76.66666666666667,64.3,610
Wales,Newcastle Disease,1,2018,1,2.9,0,71.5,Moderate,2,76,0.6711409395973155,70.0,78.7,522
Wales,Salmonella,12,2018,1,2.9,1,71.5,Moderate,2,81,8.053691275167784,86.66666666666667,77.6,499
Wales,Infectious Bronchitis,19,2018,1,2.9,1,71.5,Moderate,2,80,12.751677852348994,83.33333333333334,73.4,431
Wales,Infectious Bursal Disease,7,2018,1,2.9,0,71.5,Moderate,2,83,4.697986577181208,93.33333333333333,78.3,498
Wales,Marek's Disease,5,2018,1,2.9,0,71.5,Moderate,2,76,3.3557046979865772,70.0,78.7,620
Wales,All diseases,53,2018,1,2.9,1,71.5,Moderate,2,81,35.57046979865772,86.66666666666667,79.8,594
England North,Avian Influenza,16,2018,2,15.2,1,92.7,Low,1,74,10.738255033557047,63.33333333333333,48.7,250
England North,Newcastle Disease,3,2018,2,15.2,0,92.7,Low,1,66,2.013422818791946,36.666666666666664,60.1,417
England North,Salmonella,41,2018,2,15.2,1,92.7,Low,1,78,27.516778523489933,76.66666666666667,58.9,411
England North,Infectious Bronchitis,38,2018,2,15.2,1,92.7,Low,1,83,25.503355704697988,93.33333333333333,64.4,367
England North,Infectious Bursal Disease,9,2018,2,15.2,0,92.7,Low,1,85,6.0402684563758395,100.0,60.0,261
England North,Marek's Disease,6,2018,2,15.2,0,92.7,Low,1,79,4.026845637583892,80.0,57.0,460
England North,All diseases,113,2018,2,15.2,1,92.7,Low,1,65,75.83892617449665,33.33333333333333,60.7,278
England South,Avian Influenza,13,2018,2,14.9,1,91.9,Low,1,73,8.724832214765101,60.0,46.9,213
England South,Newcastle Disease,4,2018,2,14.9,0,91.9,Low,1,68,2.684563758389262,43.333333333333336,50.0,298
England South,Salmonella,27,2018,2,14.9,1,91.9,Low,1,70,18.120805369127517,50.0,61.1,213
England South,Infectious Bronchitis,32,2018,2,14.9,1,91.9,Low,1,67,21.476510067114095,40.0,53.8,354
England South,Infectious Bursal Disease,11,2018,2,14.9,1,91.9,Low,1,69,7.38255033557047,46.666666666666664,53.7,299
England South,Marek's Disease,6,2018,2,14.9,0,91.9,Low,1,74,4.026845637583892,63.33333333333333,61.2,404
England South,All diseases,93,2018,2,14.9,1,91.9,Low,1,85,62.41610738255034,100.0,51.6,431
Scotland,Avian Influenza,12,2018,2,17.7,1,93.7,Low,1,75,8.053691275167784,66.66666666666666,60.8,307
Scotland,Newcastle Disease,1,2018,2,17.7,0,93.7,Low,1,75,0.6711409395973155,66.66666666666666,54.0,434
Scotland,Salmonella,21,2018,2,17.7,1,93.7,Low,1,84,14.093959731543624,96.66666666666667,52.9,274
Scotland,Infectious Bronchitis,27,2018,2,17.7,1,93.7,Low,1,71,18.120805369127517,53.333333333333336,63.3,368
Scotland,Infectious Bursal Disease,8,2018,2,17.7,0,93.7,Low,1,77,5.369127516778524,73.33333333333333,44.6,323
Scotland,Marek's Disease,5,2018,2,17.7,0,93.7,Low,1,72,3.3557046979865772,56.666666666666664,46.2,229
Scotland,All diseases,74,2018,2,17.7,1,93.7,Low,1,84,49.664429530201346,96.66666666666667,61.6,332
Wales,Avian Influenza,8,2018,2,17.2,0,68.6,Moderate,2,72,5.369127516778524,56.666666666666664,63.3,561
Wales,Newcastle Disease,0,2018,2,17.2,0,68.6,Moderate,2,81,0.0,86.66666666666667,76.4,543
Wales,Salmonella,14,2018,2,17.2,1,68.6,Moderate,2,73,9.395973154362416,60.0,82.9,423
Wales,Infectious Bronchitis,17,2018,2,17.2,1,68.6,Moderate,2,72,11.409395973154362,56.666666666666664,82.0,525
Wales,Infectious Bursal Disease,6,2018,2,17.2,0,68.6,Moderate,2,71,4.026845637583892,53.333333333333336,78.6,528
Wales,Marek's Disease,4,2018,2,17.2,0,68.6,Moderate,2,83,2.684563758389262,93.33333333333333,66.0,488
Wales,All diseases,49,2018,2,17.2,1,68.6,Moderate,2,78,32.88590604026846,76.66666666666667,72.0,415
England North,Avian Influenza,13,2018,3,17.6,1,86.6,Low,1,62,8.724832214765101,23.333333333333332,51.7,400
England North,Newcastle Disease,4,2018,3,17.6,0,86.6,Low,1,80,2.684563758389262,83.33333333333334,63.4,264
England North,Salmonella,46,2018,3,17.6,1,86.6,Low,1,79,30.87248322147651,80.0,40.8,330
England North,Infectious Bronchitis,50,2018,3,17.6,1,86.6,Low,1,64,33.557046979865774,30.0,44.4,471
England North,Infectious Bursal Disease,9,2018,3,17.6,0,86.6,Low,1,65,6.0402684563758395,33.33333333333333,41.4,336
England North,Marek's Disease,9,2018,3,17.6,0,86.6,Low,1,62,6.0402684563758395,23.333333333333332,63.7,448
England North,All diseases,131,2018,3,17.6,1,86.6,Low,1,76,87.91946308724832,70.0,52.2,442
England South,Avian Influenza,12,2018,3,2.2,1,82.7,Low,1,79,8.053691275167784,80.0,45.0,438
England South,Newcastle Disease,4,2018,3,2.2,0,82.7,Low,1,62,2.684563758389262,23.333333333333332,43.8,339
England South,Salmonella,26,2018,3,2.2,1,82.7,Low,1,68,17.449664429530202,43.333333333333336,43.8,228
England South,Infectious Bronchitis,30,2018,3,2.2,1,82.7,Low,1,74,20.13422818791946,63.33333333333333,61.4,281
England South,Infectious Bursal Disease,12,2018,3,2.2,1,82.7,Low,1,77,8.053691275167784,73.33333333333333,55.8,250
England South,Marek's Disease,6,2018,3,2.2,0,82.7,Low,1,74,4.026845637583892,63.33333333333333,48.8,415
England South,All diseases,90,2018,3,2.2,1,82.7,Low,1,80,60.40268456375839,83.33333333333334,64.9,246
Scotland,Avian Influenza,12,2018,3,12.0,1,79.8,Low,1,78,8.053691275167784,76.66666666666667,61.4,297
Scotland,Newcastle Disease,3,2018,3,12.0,0,79.8,Low,1,67,2.013422818791946,40.0,56.9,220
Scotland,Salmonella,23,2018,3,12.0,1,79.8,Low,1,79,15.436241610738255,80.0,42.3,435
Scotland,Infectious Bronchitis,33,2018,3,12.0,1,79.8,Low,1,72,22.14765100671141,56.666666666666664,49.3,385
Scotland,Infectious Bursal Disease,9,2018,3,12.0,0,79.8,Low,1,65,6.0402684563758395,33.33333333333333,62.0,419
Scotland,Marek's Disease,4,2018,3,12.0,0,79.8,Low,1,68,2.684563758389262,43.333333333333336,61.8,310
Scotland,All diseases,84,2018,3,12.0,1,79.8,Low,1,66,56.375838926174495,36.666666666666664,48.1,483
Wales,Avian Influenza,7,2018,3,16.1,0,77.2,High,3,77,4.697986577181208,73.33333333333333,67.3,640
Wales,Newcastle Disease,0,2018,3,16.1,0,77.2,High,3,69,0.0,46.666666666666664,78.5,442
Wales,Salmonella,13,2018,3,16.1,1,77.2,High,3,74,8.724832214765101,63.33333333333333,78.2,535
Wales,Infectious Bronchitis,16,2018,3,16.1,1,77.2,High,3,72,10.738255033557047,56.666666666666664,60.7,441
Wales,Infectious Bursal Disease,7,2018,3,16.1,0,77.2,High,3,72,4.697986577181208,56.666666666666664,64.4,455
Wales,Marek's Disease,4,2018,3,16.1,0,77.2,High,3,68,2.684563758389262,43.333333333333336,75.7,556
Wales,All diseases,47,2018,3,16.1,1,77.2,High,3,75,31.543624161073826,66.66666666666666,69.3,432
England North,Avian Influenza,13,2018,4,5.3,1,94.6,Low,1,69,8.724832214765101,46.666666666666664,49.4,287
England North,Newcastle Disease,5,2018,4,5.3,0,94.6,Low,1,60,3.3557046979865772,16.666666666666664,49.7,480
England North,Salmonella,53,2018,4,5.3,1,94.6,Low,1,64,35.57046979865772,30.0,49.8,349
England North,Infectious Bronchitis,48,2018,4,5.3,1,94.6,Low,1,66,32.21476510067114,36.666666666666664,59.8,358
England North,Infectious Bursal Disease,9,2018,4,5.3,0,94.6,Low,1,78,6.0402684563758395,76.66666666666667,54.7,434
England North,Marek's Disease,8,2018,4,5.3,0,94.6,Low,1,62,5.369127516778524,23.333333333333332,51.1,471
England North,All diseases,136,2018,4,5.3,1,94.6,Low,1,71,91.2751677852349,53.333333333333336,45.7,392
England South,Avian Influenza,10,2018,4,6.2,1,76.1,Low,1,64,6.7114093959731544,30.0,48.2,417
England South,Newcastle Disease,5,2018,4,6.2,0,76.1,Low,1,73,3.3557046979865772,60.0,52.6,202
England South,Salmonella,28,2018,4,6.2,1,76.1,Low,1,71,18.79194630872483,53.333333333333336,63.9,287
England South,Infectious Bronchitis,36,2018,4,6.2,1,76.1,Low,1,66,24.161073825503358,36.666666666666664,48.8,399
England South,Infectious Bursal Disease,10,2018,4,6.2,1,76.1,Low,1,70,6.7114093959731544,50.0,63.8,498
England South,Marek's Disease,7,2018,4,6.2,0,76.1,Low,1,78,4.697986577181208,76.66666666666667,51.2,336
England South,All diseases,96,2018,4,6.2,1,76.1,Low,1,63,64.42953020134227,26.666666666666668,56.3,360
Scotland,Avian Influenza,10,2018,4,14.4,1,65.0,Low,1,71,6.7114093959731544,53.333333333333336,42.5,352
